Data Source	Cell Type	TF/DNase/HistoneMark	Treatment	Positive Proportion
ENCODE	HepG2	GRp20	forskolin	0.00039409
ENCODE	HepG2	HNF4A	forskolin	0.0065373
ENCODE	HepG2	HSF1	forskolin	0.00078727
ENCODE	HepG2	IRF3	None	0.00037182
ENCODE	HepG2	JunD	None	0.016703
ENCODE	HepG2	MafF	None	0.018689
ENCODE	HepG2	MafK	None	0.02667
ENCODE	HepG2	MafK	None	0.018423
ENCODE	HepG2	Max	None	0.0076114
ENCODE	HepG2	MAZ	None	0.0092427
ENCODE	HepG2	Mxi1	None	0.0151
ENCODE	HepG2	Nrf1	None	0.0010264
ENCODE	HepG2	p300	None	0.0051882
ENCODE	HepG2	PGC1A	forskolin	0.0010818
ENCODE	HepG2	Pol2	forskolin	0.012429
ENCODE	HepG2	Pol2	None	0.014614
ENCODE	HepG2	Pol2(phosphoS2)	None	0.0036645
ENCODE	HepG2	Rad21	None	0.016177
ENCODE	HepG2	RFX5	None	0.0039782
ENCODE	HepG2	SMC3	None	0.015577
ENCODE	HepG2	SREBP1	None	0.0018927
ENCODE	HepG2	TBP	None	0.0093755
ENCODE	HepG2	TCF7L2	None	0.0029609
ENCODE	HepG2	TR4	None	0.0018973
ENCODE	HepG2	USF2	None	0.0031268
ENCODE	HepG2	ZNF274	None	0.00024182
ENCODE	HUVEC	c-Fos	None	0.033121
ENCODE	HUVEC	c-Jun	None	0.015431
ENCODE	HUVEC	GATA2	None	0.021066
ENCODE	HUVEC	Max	None	0.0041445
ENCODE	HUVEC	Pol2	None	0.0088659
ENCODE	IMR90	CEBPB	None	0.030176
ENCODE	IMR90	CTCF	None	0.01804
ENCODE	IMR90	MafK	None	0.018831
ENCODE	IMR90	Pol2	None	0.016052
ENCODE	IMR90	Rad21	None	0.014224
ENCODE	K562	ARID3A	None	0.0062845
ENCODE	K562	ATF1	None	0.0073273
ENCODE	K562	ATF3	None	0.00070091
ENCODE	K562	Bach1	None	0.0023118
ENCODE	K562	BDP1	None	0.00026909
ENCODE	K562	BHLHE40	None	0.012896
ENCODE	K562	BRF1	None	0.00012727
ENCODE	K562	BRF2	None	0.00054273
ENCODE	K562	Brg1	None	0.0029509
ENCODE	K562	CCNT2	None	0.016045
ENCODE	K562	CEBPB	None	0.019399
ENCODE	K562	c-Fos	None	0.0035968
ENCODE	K562	CHD2	None	0.0048745
ENCODE	K562	c-Jun	IFNa30	0.0041509
ENCODE	K562	c-Jun	IFNa6h	0.0030768
ENCODE	K562	c-Jun	IFNg30	0.0051064
ENCODE	K562	c-Jun	IFNg6h	0.0043441
ENCODE	K562	c-Jun	None	0.0041059
ENCODE	K562	c-Myc	IFNa30	0.0061836
ENCODE	K562	c-Myc	IFNa6h	0.0082409
ENCODE	K562	c-Myc	IFNg30	0.022175
ENCODE	K562	c-Myc	IFNg6h	0.015223
ENCODE	K562	c-Myc	None	0.018727
ENCODE	K562	c-Myc	None	0.0031895
ENCODE	K562	COREST	None	0.0044091
ENCODE	K562	COREST	None	0.020029
ENCODE	K562	CTCF	None	0.021682
ENCODE	K562	E2F4	None	0.0049168
ENCODE	K562	E2F6	None	0.011029
ENCODE	K562	ELK1	None	0.0021868
ENCODE	K562	GATA1	None	0.0023891
ENCODE	K562	GATA2	None	0.0060241
ENCODE	K562	GTF2B	None	0.002
ENCODE	K562	GTF2F1	None	0.0028455
ENCODE	K562	HMGN3	None	0.013199
ENCODE	K562	Ini1	None	0.0019827
ENCODE	K562	IRF1	IFNa30	0.00077182
ENCODE	K562	IRF1	IFNa6h	0.0048891
ENCODE	K562	IRF1	IFNg30	0.0070555
ENCODE	K562	IRF1	IFNg6h	0.0084259
ENCODE	K562	JunD	None	0.02065
ENCODE	K562	KAP1	None	0.0071955
ENCODE	K562	MafF	None	0.012884
ENCODE	K562	MafK	None	0.0098927
ENCODE	K562	Max	None	0.019839
ENCODE	K562	MAZ	None	0.022535
ENCODE	K562	Mxi1	None	0.0044273
ENCODE	K562	NELFe	None	0.00041455
ENCODE	K562	NF-E2	None	0.0010886
ENCODE	K562	NF-YA	None	0.0024614
ENCODE	K562	NF-YB	None	0.0051723
ENCODE	K562	Nrf1	None	0.0020555
ENCODE	K562	p300	None	0.015097
ENCODE	K562	Pol2	IFNa30	0.01051
ENCODE	K562	Pol2	IFNa6h	0.010556
ENCODE	K562	Pol2	IFNg30	0.010842
ENCODE	K562	Pol2	IFNg6h	0.011283
ENCODE	K562	Pol2	None	0.01167
ENCODE	K562	Pol2(phosphoS2)	None	0.0057682
ENCODE	K562	Pol2(phosphoS2)	None	0.0020732
ENCODE	K562	Pol2	None	0.011699
ENCODE	K562	Pol3	None	0.00034364
ENCODE	K562	Rad21	None	0.0073595
ENCODE	K562	RFX5	None	0.0015473
ENCODE	K562	RPC155	None	0.001055
ENCODE	K562	SETDB1	MNaseD	0.0020655
ENCODE	K562	SETDB1	None	0.0033732
ENCODE	K562	SIRT6	None	0.0015459
ENCODE	K562	SMC3	None	0.011859
ENCODE	K562	STAT1	IFNa30	0.0010264
ENCODE	K562	STAT1	IFNa6h	0.00098682
ENCODE	K562	STAT1	IFNg30	0.001345
ENCODE	K562	STAT1	IFNg6h	0.0015064
ENCODE	K562	STAT2	IFNa30	0.0021055
ENCODE	K562	STAT2	IFNa6h	0.0011655
ENCODE	K562	TAL1	None	0.012724
ENCODE	K562	TBLR1	None	0.0039786
ENCODE	K562	TBLR1	None	0.0055209
ENCODE	K562	TBP	None	0.011501
ENCODE	K562	TFIIIC-110	None	0.00090273
ENCODE	K562	TR4	None	0.00048318
ENCODE	K562	UBF	None	0.0049723
ENCODE	K562	UBTF	None	0.010786
ENCODE	K562	USF2	None	0.0015945
ENCODE	K562	YY1	None	0.002735
ENCODE	K562	Znf143	None	0.016228
ENCODE	K562	ZNF263	None	0.0025136
ENCODE	K562	ZNF274	None	0.00265
ENCODE	K562	ZNF274	None	0.00028227
ENCODE	MCF10A-Er-Src	c-Fos	EtOH_0.01pct	0.025653
ENCODE	MCF10A-Er-Src	c-Fos	4OHTAM_1uM_12hr	0.03504
ENCODE	MCF10A-Er-Src	c-Fos	4OHTAM_1uM_4hr	0.033504
ENCODE	MCF10A-Er-Src	c-Fos	4OHTAM_1uM_36hr	0.028648
ENCODE	MCF10A-Er-Src	c-Myc	EtOH_0.01pct	0.018798
ENCODE	MCF10A-Er-Src	c-Myc	4OHTAM_1uM_4hr	0.014316
ENCODE	MCF10A-Er-Src	E2F4	4OHTAM_1uM_36hr	0.00829
ENCODE	MCF10A-Er-Src	Pol2	EtOH_0.01pct	0.019155
ENCODE	MCF10A-Er-Src	Pol2	4OHTAM_1uM_36hr	0.015975
ENCODE	MCF10A-Er-Src	STAT3	EtOH_0.01pct_4hr	0.022138
ENCODE	MCF10A-Er-Src	STAT3	EtOH_0.01pct_12hr	0.020618
ENCODE	MCF10A-Er-Src	STAT3	EtOH_0.01pct	0.0058941
ENCODE	MCF10A-Er-Src	STAT3	4OHTAM_1uM_12hr	0.017935
ENCODE	MCF10A-Er-Src	STAT3	4OHTAM_1uM_36hr	0.023445
ENCODE	MCF-7	GATA3	None	0.010345
ENCODE	MCF-7	GATA3	None	0.0055841
ENCODE	MCF-7	HA-E2F1	None	0.019326
ENCODE	MCF-7	TCF7L2	None	0.0090677
ENCODE	MCF-7	ZNF217	None	0.010355
ENCODE	NB4	c-Myc	None	0.016144
ENCODE	NB4	Max	None	0.018524
ENCODE	NB4	Pol2	None	0.011085
ENCODE	NT2-D1	SUZ12	None	0.0038732
ENCODE	NT2-D1	YY1	None	0.0029
ENCODE	NT2-D1	ZNF274	None	0.00069409
ENCODE	PANC-1	TCF7L2	None	0.013253
ENCODE	PBDEFetal	GATA1	None	0.0019005
ENCODE	PBDE	GATA1	None	0.022595
ENCODE	PBDE	Pol2	None	0.016574
ENCODE	Raji	Pol2	None	0.015316
ENCODE	SH-SY5Y	GATA2	None	0.025496
ENCODE	SH-SY5Y	GATA3	None	0.013378
ENCODE	U2OS	KAP1	None	0.017742
ENCODE	U2OS	SETDB1	None	0.026461
ENCODE	K562	eGFP-FOS	None	0.0054509
ENCODE	K562	eGFP-GATA2	None	0.011376
ENCODE	K562	eGFP-HDAC8	None	0.0018086
ENCODE	K562	eGFP-JunB	None	0.0088545
ENCODE	K562	eGFP-JunD	None	0.020849
ENCODE	A549	CTCF	None	0.020029
ENCODE	A549	Pol2	None	0.0090009
ENCODE	Fibrobl	CTCF	None	0.015247
ENCODE	Gliobla	CTCF	None	0.023265
ENCODE	Gliobla	Pol2	None	0.0083032
ENCODE	GM12878	c-Myc	None	0.0041686
ENCODE	GM12878	CTCF	None	0.015767
ENCODE	GM12878	Pol2	None	0.012335
ENCODE	GM12891	CTCF	None	0.013762
ENCODE	GM12892	CTCF	None	0.016532
ENCODE	GM19238	CTCF	None	0.017439
ENCODE	GM19239	CTCF	None	0.013157
ENCODE	GM19240	CTCF	None	0.01491
ENCODE	H1-hESC	c-Myc	None	0.00086773
ENCODE	H1-hESC	CTCF	None	0.012444
ENCODE	H1-hESC	Pol2	None	0.011219
ENCODE	HeLa-S3	c-Myc	None	0.001805
ENCODE	HeLa-S3	CTCF	None	0.015908
ENCODE	HeLa-S3	Pol2	None	0.013884
ENCODE	HepG2	c-Myc	None	0.00227
ENCODE	HepG2	CTCF	None	0.011088
ENCODE	HepG2	Pol2	None	0.015659
ENCODE	HUVEC	c-Myc	None	0.00192
ENCODE	HUVEC	CTCF	None	0.013161
ENCODE	HUVEC	Pol2	None	0.0067532
ENCODE	K562	c-Myc	None	0.0036895
ENCODE	K562	CTCF	None	0.016607
ENCODE	K562	Pol2	None	0.013679
ENCODE	MCF-7	c-Myc	estrogen	0.0046932
ENCODE	MCF-7	c-Myc	serum_stimulated_media	0.011296
ENCODE	MCF-7	c-Myc	serum_starved_media	0.0027855
ENCODE	MCF-7	c-Myc	vehicle	0.015749
ENCODE	MCF-7	CTCF	estrogen	0.023142
ENCODE	MCF-7	CTCF	serum_stimulated_media	0.019373
ENCODE	MCF-7	CTCF	serum_starved_media	0.018321
ENCODE	MCF-7	CTCF	None	0.018275
ENCODE	MCF-7	CTCF	vehicle	0.030474
ENCODE	MCF-7	Pol2	serum_stimulated_media	0.012317
ENCODE	MCF-7	Pol2	serum_starved_media	0.010295
ENCODE	MCF-7	Pol2	None	0.0098109
ENCODE	NHEK	CTCF	None	0.01725
ENCODE	ProgFib	CTCF	None	0.014248
ENCODE	ProgFib	Pol2	None	0.010427
ENCODE	A549	CTCF	None	0.02366
ENCODE	AG04449	CTCF	None	0.015818
ENCODE	AG04450	CTCF	None	0.022523
ENCODE	AG09309	CTCF	None	0.021665
ENCODE	AG09319	CTCF	None	0.022829
ENCODE	AG10803	CTCF	None	0.019987
ENCODE	AoAF	CTCF	None	0.016894
ENCODE	BE2_C	CTCF	None	0.027466
ENCODE	BJ	CTCF	None	0.022343
ENCODE	Caco-2	CTCF	None	0.018643
ENCODE	GM06990	CTCF	None	0.021987
ENCODE	GM12801	CTCF	None	0.0014105
ENCODE	GM12864	CTCF	None	0.022176
ENCODE	GM12865	CTCF	None	0.019489
ENCODE	GM12872	CTCF	None	0.022673
ENCODE	GM12873	CTCF	None	0.02393
ENCODE	GM12874	CTCF	None	0.016463
ENCODE	GM12875	CTCF	None	0.017409
ENCODE	GM12878	CTCF	None	0.017134
ENCODE	HAc	CTCF	None	0.025649
ENCODE	HA-sp	CTCF	None	0.019934
ENCODE	HBMEC	CTCF	None	0.027297
ENCODE	HCFaa	CTCF	None	0.017667
ENCODE	HCM	CTCF	None	0.029554
ENCODE	HCPEpiC	CTCF	None	0.028166
ENCODE	HCT-116	CTCF	None	0.024012
ENCODE	HEEpiC	CTCF	None	0.023156
ENCODE	HEK293	CTCF	None	0.020318
ENCODE	HeLa-S3	CTCF	None	0.01581
ENCODE	HepG2	CTCF	None	0.019538
ENCODE	HFF	CTCF	None	0.017644
ENCODE	HFF-Myc	CTCF	None	0.027121
ENCODE	HL-60	CTCF	None	0.007965
ENCODE	HMEC	CTCF	None	0.024089
ENCODE	HMF	CTCF	None	0.023949
ENCODE	HPAF	CTCF	None	0.027649
ENCODE	HPF	CTCF	None	0.019789
ENCODE	HRE	CTCF	None	0.019528
ENCODE	HRPEpiC	CTCF	None	0.022268
ENCODE	HUVEC	CTCF	None	0.015798
ENCODE	HVMF	CTCF	None	0.023402
ENCODE	K562	CTCF	None	0.019923
ENCODE	MCF-7	CTCF	None	0.026013
ENCODE	NB4	CTCF	None	0.016442
ENCODE	NHDF-neo	CTCF	None	0.023654
ENCODE	NHEK	CTCF	None	0.021888
ENCODE	NHLF	CTCF	None	0.017577
ENCODE	RPTEC	CTCF	None	0.03056
ENCODE	SAEC	CTCF	None	0.018503
ENCODE	SK-N-SH_RA	CTCF	None	0.016932
ENCODE	WERI-Rb-1	CTCF	None	0.019108
ENCODE	WI-38	CTCF	None	0.087007
Roadmap Epigenomics	H1-hESC	H2AK5ac	None	0.04598
Roadmap Epigenomics	H1-hESC	H2AZ	None	0.012846
Roadmap Epigenomics	H1-hESC	H2BK120ac	None	0.011445
Roadmap Epigenomics	H1-hESC	H2BK12ac	None	0.026462
Roadmap Epigenomics	H1-hESC	H2BK15ac	None	0.0076718
Roadmap Epigenomics	H1-hESC	H2BK20ac	None	0.0091732
Roadmap Epigenomics	H1-hESC	H2BK5ac	None	0.032576
Roadmap Epigenomics	H1-hESC	H3K14ac	None	0.0054682
Roadmap Epigenomics	H1-hESC	H3K18ac	None	0.05251
Roadmap Epigenomics	H1-hESC	H3K23ac	None	0.0043391
Roadmap Epigenomics	H1-hESC	H3K23me2	None	0.023001
Roadmap Epigenomics	H1-hESC	H3K27ac	None	0.061091
Roadmap Epigenomics	H1-hESC	H3K27me3	None	0.048292
Roadmap Epigenomics	H1-hESC	H3K36me3	None	0.046156
Roadmap Epigenomics	H1-hESC	H3K4ac	None	0.0064205
Roadmap Epigenomics	H1-hESC	H3K4me1	None	0.081302
Roadmap Epigenomics	H1-hESC	H3K4me2	None	0.12548
Roadmap Epigenomics	H1-hESC	H3K4me3	None	0.074908
Roadmap Epigenomics	H1-hESC	H3K56ac	None	0.014907
Roadmap Epigenomics	H1-hESC	H3K79me1	None	0.014949
Roadmap Epigenomics	H1-hESC	H3K79me2	None	0.016471
Roadmap Epigenomics	H1-hESC	H3K9ac	None	0.050648
Roadmap Epigenomics	H1-hESC	H3K9me3	None	0.0252
Roadmap Epigenomics	H1-hESC	H4K20me1	None	0.027315
Roadmap Epigenomics	H1-hESC	H4K5ac	None	0.036485
Roadmap Epigenomics	H1-hESC	H4K8ac	None	0.074433
Roadmap Epigenomics	H1-hESC	H4K91ac	None	0.12361
Roadmap Epigenomics	K562	H2AZ	None	0.086199
Roadmap Epigenomics	K562	H3K27ac	None	0.078527
Roadmap Epigenomics	K562	H3K27me3	None	0.018159
Roadmap Epigenomics	K562	H3K36me3	None	0.042174
Roadmap Epigenomics	K562	H3K4me1	None	0.11859
Roadmap Epigenomics	K562	H3K4me2	None	0.1046
Roadmap Epigenomics	K562	H3K4me3	None	0.080299
Roadmap Epigenomics	K562	H3K79me2	None	0.071212
Roadmap Epigenomics	K562	H3K9ac	None	0.07545
Roadmap Epigenomics	K562	H3K9me1	None	0.0065364
Roadmap Epigenomics	K562	H3K9me3	None	0.0033477
Roadmap Epigenomics	K562	H4K20me1	None	0.024356
Roadmap Epigenomics	Monocytes-CD14+RO01746 	H2AZ	None	0.10042
Roadmap Epigenomics	Monocytes-CD14+RO01746 	H3K27ac	None	0.14566
Roadmap Epigenomics	Monocytes-CD14+RO01746 	H3K27me3	None	0.086502
Roadmap Epigenomics	Monocytes-CD14+RO01746 	H3K36me3	None	0.10192
Roadmap Epigenomics	Monocytes-CD14+RO01746 	H3K4me1	None	0.19017
Roadmap Epigenomics	Monocytes-CD14+RO01746 	H3K4me2	None	0.13317
Roadmap Epigenomics	Monocytes-CD14+RO01746 	H3K4me3	None	0.12237
Roadmap Epigenomics	Monocytes-CD14+RO01746 	H3K79me2	None	0.09809
Roadmap Epigenomics	Monocytes-CD14+RO01746 	H3K9ac	None	0.083876
Roadmap Epigenomics	Monocytes-CD14+RO01746 	H3K9me3	None	0.051683
Roadmap Epigenomics	Monocytes-CD14+RO01746 	H4K20me1	None	0.10516
Roadmap Epigenomics	NH-A	H2AZ	None	0.075602
Roadmap Epigenomics	NH-A	H3K27ac	None	0.12108
Roadmap Epigenomics	NH-A	H3K27me3	None	0.047885
Roadmap Epigenomics	NH-A	H3K36me3	None	0.04112
Roadmap Epigenomics	NH-A	H3K4me1	None	0.17078
Roadmap Epigenomics	NH-A	H3K4me2	None	0.17577
Roadmap Epigenomics	NH-A	H3K4me3	None	0.088196
Roadmap Epigenomics	NH-A	H3K79me2	None	0.094658
Roadmap Epigenomics	NH-A	H3K9ac	None	0.11377
Roadmap Epigenomics	NH-A	H3K9me3	None	0.018144
Roadmap Epigenomics	NH-A	H4K20me1	None	0.071217
Roadmap Epigenomics	NHDF-Ad	H2AZ	None	0.050389
Roadmap Epigenomics	NHDF-Ad	H3K27ac	None	0.068433
Roadmap Epigenomics	NHDF-Ad	H3K27me3	None	0.01782
Roadmap Epigenomics	NHDF-Ad	H3K36me3	None	0.012496
Roadmap Epigenomics	NHDF-Ad	H3K4me1	None	0.09273
Roadmap Epigenomics	NHDF-Ad	H3K4me2	None	0.10792
Roadmap Epigenomics	NHDF-Ad	H3K4me3	None	0.056728
Roadmap Epigenomics	NHDF-Ad	H3K79me2	None	0.06982
Roadmap Epigenomics	NHDF-Ad	H3K9ac	None	0.055559
Roadmap Epigenomics	NHDF-Ad	H3K9me3	None	0.0023159
Roadmap Epigenomics	NHDF-Ad	H4K20me1	None	0.036642
Roadmap Epigenomics	NHEK	H2AZ	None	0.074715
Roadmap Epigenomics	NHEK	H3K27ac	None	0.1201
Roadmap Epigenomics	NHEK	H3K27me3	None	0.067496
Roadmap Epigenomics	NHEK	H3K36me3	None	0.065204
Roadmap Epigenomics	NHEK	H3K4me1	None	0.17743
Roadmap Epigenomics	NHEK	H3K4me2	None	0.15822
Roadmap Epigenomics	NHEK	H3K4me3	None	0.097004
Roadmap Epigenomics	NHEK	H3K79me2	None	0.095425
Roadmap Epigenomics	NHEK	H3K9ac	None	0.099145
Roadmap Epigenomics	NHEK	H3K9me1	None	0.011231
Roadmap Epigenomics	NHEK	H3K9me3	None	0.016338
Roadmap Epigenomics	NHEK	H4K20me1	None	0.023389
Roadmap Epigenomics	NHLF	H2AZ	None	0.047815
Roadmap Epigenomics	NHLF	H3K27ac	None	0.09742
Roadmap Epigenomics	NHLF	H3K27me3	None	0.040966
Roadmap Epigenomics	NHLF	H3K36me3	None	0.025334
Roadmap Epigenomics	NHLF	H3K4me1	None	0.075147
Roadmap Epigenomics	NHLF	H3K4me2	None	0.10831
Roadmap Epigenomics	NHLF	H3K4me3	None	0.059716
Roadmap Epigenomics	NHLF	H3K79me2	None	0.076941
Roadmap Epigenomics	NHLF	H3K9ac	None	0.051856
Roadmap Epigenomics	NHLF	H3K9me3	None	0.0020341
Roadmap Epigenomics	NHLF	H4K20me1	None	0.0049295
Roadmap Epigenomics	Osteoblasts	H2AZ	None	0.087031
Roadmap Epigenomics	Osteoblasts	H3K27ac	None	0.14866
Roadmap Epigenomics	Osteoblasts	H3K27me3	None	0.06544
Roadmap Epigenomics	Osteoblasts	H3K36me3	None	0.067263
Roadmap Epigenomics	Osteoblasts	H3K4me1	None	0.18921
Roadmap Epigenomics	Osteoblasts	H3K4me2	None	0.15968
Roadmap Epigenomics	Osteoblasts	H3K4me3	None	0.10012
Roadmap Epigenomics	Osteoblasts	H3K79me2	None	0.10348
Roadmap Epigenomics	Osteoblasts	H3K9me3	None	0.012664

